date,well,online,thp,esp_freq,gross,wc,net,gas,water,gor,ampere,fl_dyn,pump_int,pbhp,is_shutdown
2022-01-01,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-02,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-03,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-04,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-05,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-06,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-07,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-08,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-09,KSL-1,24.0,13.0,25.5,305.195,24.0007921058893,0.0,6.0,79.24,28.25178211708425,25.2,765.385,1500.0,586.3499999999999,1
2022-01-10,KSL-1,24.0,50.0,21.0,217.12,0.05,210.420451,0.9984,79.24,4.67492582268061,25.2,397.6825,1500.0,809.0125,0
2022-01-11,KSL-1,24.0,50.0,21.0,210.61,0.09,210.420451,0.9837,79.24,4.67492582268061,25.2,397.10875,1500.0,810.25,0
2022-01-12,KSL-1,24.0,50.0,21.0,210.95,0.08,209.387442,0.993,0.17,4.73906166731814,25.2,395.96,1500.0,811.975,0
